Date,Year,Area,Location,Type,Country,Activity,Sex,Age,Injury,Fatal,Species,Hemisphere,Formated Date,Month
28-Jan-16,2016.0,Hawaii,"Hanalei Bay, Kauai",Unprovoked,United States,Surfing,M,,Lacerations to both hands,N,"Reef shark, 5'",N,2016-01-28 00:00:00.000000,1.0
25-Jan-16,2016.0,Hawaii,"Hanalei Bay, Kauai, ",Unprovoked,United States,Surfing,F,15.0,No injury,N,Unknown,N,2016-01-25 00:00:00.000000,1.0
24-Jan-16,2016.0,Texas,Off Surfside,Unprovoked,United States,Fishing,M,,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,Bull sharks x 2,N,2016-01-24 00:00:00.000000,1.0
24-Jan-16,2016.0,Fujairah Emirate,35 miles off Fujairah,Boat,United Arab Emirates,Fishing,M,,"No injury to occupants, shark leapt into boat",N,Mako shark,N,2016-01-24 00:00:00.000000,1.0
23-Jan-16,2016.0,Hawaii,"Wailea Beach, Maui",Unprovoked,United States,Other,M,48.0,No injury,N,"Tiger shark, 14'",N,2016-01-23 00:00:00.000000,1.0
Reported 11-Jan-2016,2016.0,Queensland,"Happy Valley Beach, Caloundra",Unprovoked,Australia,Surfing,M,,Laceration to right foot,N,Wobbegong shark,S,2016-01-11 00:00:00.000000,1.0
05-Jan-16,2016.0,Queensland,Heron Island,Unprovoked,Australia,Wading,M,11.0,Laceration to right calf,N,Blacktip shark,S,2016-01-05 00:00:00.000000,1.0
02-Jan-16,2016.0,Queensland,Miall Island,Unprovoked,Australia,Fishing,M,31.0,Lacerations to arms & leg,N,3 m shark,S,2016-01-02 00:00:00.000000,1.0
26-Dec-15,2015.0,KwaZulu-Natal,Westbrook Beach,Boat,South Africa,Fishing,M,,"No injury, kayak damaged",N,"White shark, 3 m",S,2015-12-26 00:00:00.000000,12.0
25-Dec-15,2015.0,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Unprovoked,Spain,Swimming,F,38.0,Lacerations to left forearm,N,"Silky shark, 6.5'",N,2015-12-25 00:00:00.000000,12.0
22-Dec-15,2015.0,Hawaii,La'aloa Beach Park,Unprovoked,United States,Other,M,71.0,"No injury, shark bit board",N,9' shark,N,2015-12-22 00:00:00.000000,12.0
21-Dec-15,2015.0,New South Wales,Bondi Beach,Unprovoked,Australia,Surfing,M,43.0,"No injury, shark leapt on surfboard",N,"Bronze whaler shark, 6'",S,2015-12-21 00:00:00.000000,12.0
21-Dec-15,2015.0,Pernambuco,Fernano de Noronha,Unprovoked,Brazil,Diving,M,32.0,Right hand & part of forearm removed,N,"Tiger shark, 1.5 m ",S,2015-12-21 00:00:00.000000,12.0
19-Dec-15,2015.0,,Boat capsized,Unprovoked,Aruba,Other,M,58.0,FATAL,Y,Unknown,N,2015-12-19 00:00:00.000000,12.0
13-Dec-15,2015.0,New South Wales,Lake Macquarie,Boat,Australia,Fishing,,,"No injury, shark rammed boat & bit motor",N,"White shark, 3.5 m",S,2015-12-13 00:00:00.000000,12.0
11-Dec-15,2015.0,,Off Andros Island,Unprovoked,Bahamas,Fishing,M,26.0,"Bitten on thigh, abdomen & hand",N,Bull shark,N,2015-12-11 00:00:00.000000,12.0
08-Dec-15,2015.0,Eastern Cape Province,Mpande,Unprovoked,South Africa,Swimming,F,22.0,Lacerations to both hands and forearms,N,Unknown,S,2015-12-08 00:00:00.000000,12.0
16-Nov-15,2015.0,Florida,"Playalinda Beach, Brevard County",Unprovoked,United States,Surfing,M,,Right heel injured,N,Unknown,N,2015-11-16 00:00:00.000000,11.0
15-Nov-15,2015.0,Florida,"Palm Beach, Palm Beach County",Unprovoked,United States,Swimming,F,,Leg injured,N,Unknown,N,2015-11-15 00:00:00.000000,11.0
15-Nov-15,2015.0,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Unprovoked,United States,Surfing,M,28.0,Lacerations to hand,N,"Spinner shark, 7'",N,2015-11-15 00:00:00.000000,11.0
10-Nov-15,2015.0,New South Wales,East Ballina,Unprovoked,Australia,Surfing,M,20.0,Injury to left thigh,N,"Bull shark, 2.8 to 3.1 m",S,2015-11-10 00:00:00.000000,11.0
07-Nov-15,2015.0,Florida,"Paradise Beach, Melbourne, Brevard County",Invalid,United States,Surfing,F,9.0,Lower left leg injured,N,Shark involvement not confirmed,N,2015-11-07 00:00:00.000000,11.0
03-Nov-15,2015.0,Hawaii,"Kehena Beach, Hawaii",Unprovoked,United States,Swimming,M,54.0,Laceration to right ankle,N,Unknown,N,2015-11-03 00:00:00.000000,11.0
01-Nov-15,2015.0,Florida,"Cocoa Beach, Brevard  County",Unprovoked,United States,Wading,F,28.0,Injury to right ankle/calf & hand,N,3' to 5' shark,N,2015-11-01 00:00:00.000000,11.0
01-Nov-15,2015.0,Inhambane Province,Maxixe,Unprovoked,Mozambique,Fishing,M,19.0,"Arms severely injured, surgically amputated",N,Unknown,S,2015-11-01 00:00:00.000000,11.0
30-Oct-15,2015.0,Western Australia,Bald Island,Unprovoked,Australia,Fishing,M,50.0,Minor injury,N,Unknown,S,2015-10-30 00:00:00.000000,10.0
28-Oct-15,2015.0,Hawaii,"Malaka, Oahu",Unprovoked,United States,Other,M,10.0,"Lacerations & puncture wounds to right thigh, calf & ankle",N,Unknown,N,2015-10-28 00:00:00.000000,10.0
25-Oct-15,2015.0,Western Cape Province,Stil Bay,Unprovoked,South Africa,Surfing,M,42.0,"Lacerations to right calf, knee & hip",N,"White shark, 3 to 3.5m ",S,2015-10-25 00:00:00.000000,10.0
21-Oct-15,2015.0,Florida,"Playalinda Beach, Brevard County",Unprovoked,United States,Surfing,M,21.0,Lacerations to left hand,N,5' shark,N,2015-10-21 00:00:00.000000,10.0
19-Oct-15,2015.0,Florida,"Deerfield Beach, Broward County",Unprovoked,United States,Surfing,M,21.0,Left foot bitten,N,"Spinner shark, 5'",N,2015-10-19 00:00:00.000000,10.0
17-Oct-15,2015.0,Inhambane Province,"Nahaduga, Inhambane Bay",Unprovoked,Mozambique,Fishing,F,35.0,FATAL,Y,Unknown,S,2015-10-17 00:00:00.000000,10.0
17-Oct-15,2015.0,Hawaii,"Waikiki, ",Invalid,United States,Surfing,M,32.0,Left foot bitten by eel,N,No shark involvement,N,2015-10-17 00:00:00.000000,10.0
17-Oct-15,2015.0,Hawaii,"Lanikai Beach, Kailua, Oahu",Unprovoked,United States,Swimming,M,44.0,Injuries to lower legs,N,"Tiger shark, 7'",N,2015-10-17 00:00:00.000000,10.0
13-Oct-15,2015.0,California,"Off Leffingwell Landing, San Luis Obispo County",Boat,United States,Fishing,M,,"No injury, shark rammed kayak repeatedly",N,Hammerhead sp.,N,2015-10-13 00:00:00.000000,10.0
09-Oct-15,2015.0,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Unprovoked,United States,Other,F,9.0,Laceration to forearm,N,Unknown,N,2015-10-09 00:00:00.000000,10.0
09-Oct-15,2015.0,Hawaii,"Leftovers, Oahu",Unprovoked,United States,Surfing,M,25.0,"Left leg severed below the knee, defense injuries to left hand",N,"Tiger shark, 13' ",N,2015-10-09 00:00:00.000000,10.0
08-Oct-15,2015.0,Inhambane Province,"Maxixe, Inhambane Bay",Unprovoked,Mozambique,Fishing,M,,"Arm severely injured, surgically amputated",N,Unknown,S,2015-10-08 00:00:00.000000,10.0
07-Oct-15,2015.0,Western Australia,Pyramids Beach,Unprovoked,Australia,Surfing,M,18.0,Foot injured,N,Unknown,S,2015-10-07 00:00:00.000000,10.0
05-Oct-15,2015.0,Florida,"Pepper Park Beach, St. Lucie County",Unprovoked,United States,Other,M,22.0,2 lacerations to ankle,N,Unknown,N,2015-10-05 00:00:00.000000,10.0
05-Oct-15,2015.0,Texas,Galveston,Unprovoked,United States,Wading,M,13.0,Foot & hands bitten,N,4' to 5' shark,N,2015-10-05 00:00:00.000000,10.0
04-Oct-15,2015.0,Florida,"New Smyrna Beach, Volusia County",Unprovoked,United States,Surfing,M,14.0,Severe lacerations to left hand,N,"Blacktip shark, 4' to 5'",N,2015-10-04 00:00:00.000000,10.0
29-Sep-15,2015.0,Florida,"Vilano Beach, St.  Johns County",Unprovoked,United States,Surfing,M,22.0,"Laceration to heel, puncture wounds to dorsum of foot",N,"Blacktip shark, 5' to 6'",N,2015-09-29 00:00:00.000000,9.0
26-Sep-15,2015.0,Queensland,"Russel Island, Frankland Group",Unprovoked,Australia,Other,F,7.0,Laceration to leg,N,Unknown,S,2015-09-26 00:00:00.000000,9.0
24-Sep-15,2015.0,California,"Horseshoe Rock, Santa Barbara County",Unprovoked,United States,Fishing,M,,"No injury, kayak damaged",N,"White shark, 19'",N,2015-09-24 00:00:00.000000,9.0
